,mgrs_tile,base_url,sensing_time,cloud_cover
1393748,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20161031T174452_N0204_R098_T13TDE_20161031T174547.SAFE,2016-10-31 17:45:47.57 UTC,0.2248
1394883,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20170921T183041_N0205_R027_T11SPB_20170921T183545.SAFE,2017-09-21 18:35:45.51 UTC,64.0469
1396184,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20210304T183241_N0209_R027_T11SPB_20210304T204857.SAFE,2021-03-04 18:43:54.231 UTC,0.5249
1400564,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20200906T025551_N0209_R032_T50RKQ_20200906T055134.SAFE,2020-09-06 03:10:36.508 UTC,97.4958
1403182,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20210312T175131_N0209_R141_T13TDE_20210312T214101.SAFE,2021-03-12 18:02:55.068 UTC,78.5361
1405958,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20210316T182019_N0209_R127_T11SPB_20210316T204240.SAFE,2021-03-16 18:33:57.682 UTC,25.5711
1408166,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20200922T182101_N0209_R127_T11SPB_20200922T221850.SAFE,2020-09-22 18:34:03.461 UTC,15.7689
1408360,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20200907T181919_N0209_R127_T11SPB_20200907T215019.SAFE,2020-09-07 18:34:01.027 UTC,97.5518
1408877,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20200927T182039_N0209_R127_T11SPB_20200927T214529.SAFE,2020-09-27 18:34:01.245 UTC,0.6584
1413175,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20190501T181921_N0207_R127_T11SPB_20190501T215511.SAFE,2019-05-01 18:34:02 UTC,13.9692
1413416,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20190101T182741_N0207_R127_T11SPB_20190101T200655.SAFE,2019-01-01 18:33:52.42 UTC,23.8735
1414093,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20151022T184002_N0204_R027_T11SPB_20151022T184004.SAFE,2015-10-22 18:40:04 UTC,4.02
1415295,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20221204T183741_N0400_R027_T11SPB_20221204T202850.SAFE,2022-12-04 18:43:54.845 UTC,12.2820981906523
1415974,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20161205T184332_N0204_R027_T11SPB_20161205T184327.SAFE,2016-12-05 18:43:27.458 UTC,12.0671
1417824,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20210202T183601_N0209_R027_T11SPB_20210202T203444.SAFE,2021-02-02 18:43:54.193 UTC,0.1832
1419533,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20160108T180841_N0201_R141_T13TDE_20160109T031719.SAFE,2016-01-08 18:08:41.72 UTC,85.0
1419925,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20160125T174929_N0201_R098_T13TDE_20160128T050137.SAFE,2016-01-25 17:49:29.674 UTC,71.2933
1420051,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20210603T025551_N0300_R032_T50RKQ_20210603T053300.SAFE,2021-06-03 03:10:33.043 UTC,96.7407
1421235,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20190404T183031_N0207_R027_T11SPB_20190404T234821.SAFE,2019-04-04 18:43:55 UTC,97.5544
1421605,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20210802T025551_N0301_R032_T50RKQ_20210802T053503.SAFE,2021-08-02 03:10:35.367 UTC,19.8147
